epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,569.703,1.33251,0.9507,0.9975,1.59928,0.000237968,0.000237968,0.000237968
2,1006.1,0.65739,0.9691,0.9996,1.55852,0.000428847,0.000428847,0.000428847
3,1425.45,0.51304,0.9774,0.9996,1.56157,0.000572603,0.000572603,0.000572603
4,1838.92,0.41762,0.9832,0.9996,1.55645,0.000501942,0.000501942,0.000501942
5,2257.19,0.33698,0.9843,0.9997,1.5465,0.000431256,0.000431256,0.000431256
6,2674.34,0.28939,0.9862,0.9997,1.54139,0.00036057,0.00036057,0.00036057
7,3092.78,0.24955,0.9895,1,1.52902,0.000289884,0.000289884,0.000289884
8,3506.51,0.21311,0.9863,1,1.5332,0.000219198,0.000219198,0.000219198
9,3923.98,0.19127,0.9878,1,1.51922,0.000148512,0.000148512,0.000148512
10,4341.55,0.16123,0.9893,1,1.50937,7.7826e-05,7.7826e-05,7.7826e-05
